3BPA C12H12N2O (train_300K.xyz frame 0)

27 atoms
8 atom types

0.0  50  xlo xhi
0.0  50  ylo yhi
0.0  50  zlo zhi

Masses

  1     1.0080  # H *
  2     4.0026  # He
  3     6.9400  # Li
  4     9.0122  # Be
  5    10.8100  # B
  6    12.0110  # C *
  7    14.0070  # N *
  8    15.9990  # O *

Atoms # atomic

    1   6             0.3265699           -1.01286015            0.72107275
    2   6           -0.19461567            0.25830309             0.8341389
    3   6             0.7924943           -1.60244652            1.90438013
    4   1            0.43514812           -1.59784402           -0.17897327
    5   6            -0.0698411            0.97877174            2.04804512
    6   8           -0.82551374            0.94764149           -0.23208227
    7   7            -0.2900658            2.37382353            1.86234713
    8   7            0.38837699            0.47664821            3.17063941
    9   1           -0.98416331            2.63164516            1.17783211
   10   1           -0.35613357            2.91935548            2.65951281
   11   6            0.72925588           -0.88036074            3.09652633
   12   1            0.89111308            -1.3321255            4.04892841
   13   1             1.2124948           -2.61699312            1.95761271
   14   6           -1.55059042             0.1399201            -1.1989431
   15   6            -2.9314348           -0.31868852           -0.84882155
   16   1           -0.88027102           -0.72270141           -1.50495635
   17   1           -1.71075243            0.76854244           -2.05655313
   18   6           -3.36709795            -1.6386861           -0.72393961
   19   6            -3.8819392            0.73797993           -0.59066374
   20   6           -4.66143774           -1.92714685            -0.2708153
   21   1           -2.71536973           -2.46157596           -0.92494411
   22   6           -5.57704224            -0.8782771           -0.11327951
   23   1           -4.95294558           -2.96156288           -0.08227495
   24   6           -5.17381471            0.43421272            -0.2990887
   25   1           -6.59525001            -1.1021947            0.20624618
   26   1            -5.9275935            1.19353463           -0.20195647
   27   1           -3.44855719            1.74786696           -0.56747187
